barley_bales,year,cotton_lint,cotton_seed,country,oil_gnuts,oil_sunflower,wine
3920076,105311,10898.3,21685.7,Algeria,344933.17000000004,-12604.060000000005,17580319
8676870,105311,376288,739777,Angola,241557.99,190449.29000000004,-529947
1659820,105311,3060789,4638908,Benin,193708,-529947,-529947
1288610,105311,43659,92119,Botswana,16890.58,-29309.809999999998,-529947
2199482,105311,4195607,6229119,Burkina Faso,214173.06000000006,-529947,-529947
4330937,105311,104319,166695,Burundi,66900.13,-529947,-529947
8108969,105311,3805240,5194330,C̫te d'Ivoire,77263.82999999999,-529947,-529947
92571,105311,-529947,-529947,Cabo Verde,-529947,-529947,-529947
14004924,105311,2497832,3852456,Cameroon,743100,-529947,-529947
937038,105311,571035,948645,Central African Republic,1283586.2300000002,-529947,-529947
683863,105311,2555888,4025109,Chad,865146.8500000001,-529947,-529947
-529947,105311,-529947,-529947,Comoros,-529947,-529947,-529947
3018680,105311,-529947,-529947,Congo,100662,-529947,-529947
10304874,105311,671958,1358552,Democratic Republic of the Congo,886009.69,-529947,-529947
-529947,105311,-529947,-529947,Djibouti,-529947,-529947,-529947
3708890,105311,18564375,30911022,Egypt,400000,253356.82,194667
-529947,105311,-529947,-529947,Equatorial Guinea,-529947,-529947,-529947
220932,105311,-529947,-529947,Eritrea,-529947,-529947,-529947
5008729,105311,142032,450832,Ethiopia,-277803,-529947,-281222
9662949,105311,268021,747746,Ethiopia PDR,-11754,-529947,-250561
3253050,105311,-529947,-529947,Gabon,-529947,-529947,-529947
45336,105311,-72019,-64242,Gambia,916458.7600000002,-529947,-529947
3601673,105311,191214,302112,Ghana,1455386.1,-529947,-529947
415992,105311,90144,185982,Guinea,1622648.3800000001,-529947,-529947
13500,105311,-146002,-100599,Guinea-Bissau,203204.14000000004,-529947,-529947
12193070,105311,347329,697810,Kenya,-529947,96432.77999999998,-529947
610263,105311,-529947,-529947,Lesotho,-529947,-529947,-529947
458152,105311,-529947,-529947,Liberia,-529947,-529947,-529947
-161262,105311,-529947,-529947,Libya,-529947,-529947,-205557
1962766,105311,438677,740237,Madagascar,290065.45999999996,-529947,295643
661241,105311,570454,1390841,Malawi,457560,34875.25,-529947
133600,105311,4681905,6850671,Mali,1527433.8699999999,-529947,-529947
-529947,105311,-529947,-529947,Mauritania,20061.769999999997,-529947,-529947
1166489,105311,-529947,-529947,Mauritius,-98810,-529947,-529947
4187304,105311,218811,436213,Morocco,433817.93,1041611.0700000002,4192958
2415803,105311,1558402,3046465,Mozambique,863876.5399999998,181870.82,-529947
2622800,105311,12500.07,25000.14,Namibia,-529947,92467.21,-529947
153186,105311,131172,214842,Niger,826160,-529947,-529947
39356800,105311,4517347,7981428,Nigeria,14563425.809999999,-529947,-529947
377579,105311,-529947,-529947,R̩union,5494.669999999999,-529947,1824
2405717,105311,-148509.48,-146987.85,Rwanda,73799.79999999999,-529947,-529947
-529947,105311,-529947,-529947,Sao Tome and Principe,-529947,-529947,-529947
1052289,105311,594249,893798,Senegal,7639864.760000001,-529947,-529947
112077,105311,-529947,-529947,Seychelles,-529947,-529947,-529947
306146,105311,-529947,-529947,Sierra Leone,101380,-529947,-529947
-529947,105311,70343,164418,Somalia,-529947,-529947,-529947
94134494,105311,1397200,2425402,South Africa,1789100.72,8249024,36953873
36300,105311,6572681,12361538,Sudan (former),4399408.06,98424.46999999997,-529947
811027,105311,214174,449521,Swaziland,-529947,-529947,-529947
1435150,105311,1216788,1702666,Togo,-25204.5,-529947,-529947
2650266,105311,-130480.59,-112652.49,Tunisia,-529947,70399.59000000003,3288993
3799064,105311,1577555,3422079,Uganda,264816.26,1063600,-529947
6349706,105311,3438548,6567303,United Republic of Tanzania,179873.20999999993,1339695,-529947
3485400,105311,859508,1692986,Zambia,84944.4,12679.75,-529947
3971588,105311,3427953,6142253,Zimbabwe,305132.18,166639.1,-78175
