Restaurant ID,city,name,longitude,latitude,cuisines
18395463,"Cape Town","The Butcher's Wife",18.51440571,-33.96466043,"Pizza, Grill"
18337845,"Cape Town","Coco Safar",18.46489381,-33.97975702,"Cafe, Patisserie"
6401732,"Cape Town","La Parada",18.41789313,-33.92154333,"Spanish, Tapas"
6401060,"Cape Town","Jason Bakery",18.41457088,-33.92451515,"Cafe, Bakery"
6400421,"Cape Town","Truth Coffee",18.42286024,-33.92849643,"Cafe"
6402177,"Cape Town","Salushi",18.462423,-33.978602,"Japanese, Sushi, Asian"
6401198,"Cape Town","Origin Coffee Roasting",18.41766667,-33.91733333,"Cafe, Bakery, Tea, Vegetarian"
6401054,"Cape Town","Kloof Street House",18.4125,-33.9285,"Mediterranean"
6403291,"Cape Town","Jerry's Burger Bar",18.410769,-33.929022,"Burger, American"
6403499,"Cape Town","Active Sushi",18.417566,-33.917258,"Sushi"
6400191,"Cape Town","Beluga",18.418015,-33.912585,"Seafood, Asian, Grill, Sushi"
6404082,"Cape Town","Rocomamas",18.409153,-33.907776,"Burger, Fast Food, Grill"
6401485,"Cape Town","The Creamery",18.46195,-33.970286,"Desserts, Ice Cream"
6400621,"Cape Town","Nobu - One&Only",18.416435,-33.908603,"Japanese, Asian, Seafood, Sushi"
6403544,"Cape Town","Jarryds",18.381997,-33.921453,"Cafe, Burger"
6403452,"Cape Town","My Sugar",18.382759,-33.921692,"Cafe, Patisserie, Bakery, Desserts"
6402163,"Cape Town","Grand Cafí© & Beach",18.415163,-33.901746,"Seafood, African, Sushi"
6401789,"Cape Town","tashas",18.421341,-33.902336,"Cafe, Mediterranean"
6400235,"Cape Town","Gibson's Gourmet Burgers & Ribs",18.42030041,-33.9042665,"Burger, American, Grill"
6400217,"Cape Town","Willoughby & Co.",18.421,-33.90416667,"Seafood, Japanese, Sushi"
6501534,"Inner City","Cube - Tasting Kitchen",28.060192,-26.203278,"European, Contemporary"
18339373,"Inner City","Urbanologi",28.031863,-26.207091,"Tapas"
6517396,"Johannesburg","Momo Baohaus",28.011059,-26.14658,"Asian, Sushi, Tapas"
6502688,"Johannesburg","Craft",28.017548,-26.138396,"European, Pizza"
6515130,"Johannesburg","Hudsons",28.018022,-26.137391,"Burger, Finger Food, Pizza"
6502341,"Johannesburg","The Wolfpack",28.017146,-26.140464,"American, Burger"
6516766,"Johannesburg","The National",28.025193,-26.1440716,"American"
18370704,"Johannesburg","Marble",28.03619944,-26.14338814,"Continental, South African, Beverages, Desserts, Seafood, Grill, Ice Cream, International"
75027,"Pretoria","Kream",28.23604667,-25.77074833,"African"
18199767,"Pretoria","Carbon Bistro",28.230606,-25.772304,"Burger, Steak, Seafood"
75031,"Pretoria","Geet Indian Restaurant",28.235482,-25.771335,"Indian"
75728,"Pretoria","Blos Cafe",28.331763,-25.798167,"Cafe, Burger, Tapas, South African, European, Grill"
18445944,"Pretoria","The Belgian Triple",28.33247088,-25.79850294,"Healthy Food, Seafood, Beverages, Belgian, Contemporary, Desserts, Finger Food, International"
18199742,"Pretoria","El Pistolero",28.287114,-25.80283,"Mexican"
18238595,"Pretoria","Brooklyn Brothers",28.280437,-25.765656,"Burger, American, Beverages"
75609,"Pretoria","Capital Craft Beer Academy",28.25643333,-25.76973333,"Street Food, Burger, American, Finger Food, German"
18318846,"Pretoria","Spice - The Indian Kitchen",28.298357,-25.765752,"Indian, Asian, Durban, International, Desserts"
75380,"Pretoria","The Black Bamboo",28.270627,-25.780358,"Continental"
18376948,"Pretoria","Old Town Italy",28.283896,-25.786067,"Cafe, Italian, Pizza, European, Bakery, Deli"
75104,"Pretoria","Parrot's",28.275316,-25.783539,"Contemporary, Sushi, Grill, Italian, Steak"
75026,"Pretoria","Baobab Cafe & Grill",28.275005,-25.782735,"Cafe, Grill"
75576,"Pretoria","Harissa Bistro",28.257131,-25.778387,"European, South African, Steak"
75764,"Pretoria","Life Grand Cafe",28.256922,-25.777898,"Italian, Mediterranean, Sushi, Desserts"
75132,"Pretoria","Crawdaddy's",28.28159167,-25.79399333,"Continental, Seafood, Burger, South African, Finger Food, Grill"
18289339,"Pretoria","Culture Club - Bar De Tapas",28.255682,-25.775823,"Cafe, Tapas, South African, Beverages, Healthy Food, Desserts, Spanish"
75683,"Pretoria","23 On Hazelwood",28.257074,-25.775722,"Street Food, Continental, Burger, Grill"
18136493,"Pretoria","Hogshead",28.25626243,-25.7779816,"Grill, Burger"
75989,"Pretoria","Restaurant Mosaic @ The Orient",27.999097,-25.761238,"French"
6502134,"Randburg","The Whippet",27.991791,-26.14026,"Cafe"
18204217,"Sandton","Gemelli Cucina Bar",28.02302878,-26.05198229,"Contemporary, Italian"
6502852,"Sandton","Social on Main",28.023143,-26.052744,"Contemporary, Burger, European"
6515339,"Sandton","Cafe Del Sol Botanico",28.027725,-26.074876,"Italian, Pizza, Beverages, Desserts, Grill, Seafood"
6502883,"Sandton","Perron",28.04833811,-26.13493464,"Mexican"
6517568,"Sandton","Jamie's Italian",28.068062,-26.13233,"Italian"
6516831,"Sandton","The Big Mouth",28.05466667,-26.1075,"Grill, Steak, Burger, Sushi, Tapas"
6501141,"Sandton","Licorish Bistro",28.021,-26.05233333,"European, South African"
6516432,"Sandton","Salsa Mexican Grill",28.014375,-26.021111,"Mexican"
6517404,"Sandton","The Smokehouse and Grill",28.014749,-26.021362,"Steak"
6515135,"Sandton","Escondido Tapas",28.050845,-26.129002,"Mediterranean"
6502857,"Sandton","Remo's Maximilliano",28.089878,-26.02172,"Italian, Pizza"
